figure_type,figure_no,title_name,variable,variable_rename,facet_variable,flip_sign,regions,models,years,scenarios,type,x,y,facet1,facet2,linetype,color,page_filter,scales
timeseriesplot,1,Final Energy by Fuel,Final Energy|Coal,Coal,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,1,Final Energy by Fuel,Final Energy|Gas,Gas,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,1,Final Energy by Fuel,Final Energy|Oil,Oil,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,1,Final Energy by Fuel,Final Energy|Biogas,Biogas,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,1,Final Energy by Fuel,Final Energy|Biomass Liquids,Biomass Liquids,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,1,Final Energy by Fuel,Final Energy|Electricity,Electricity,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,1,Final Energy by Fuel,Final Energy|Hydrogen,Hydrogen,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,1.1,Final Energy by Fuel - Hydrogen,Final Energy|Hydrogen,Hydrogen,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,2,Final Energy by Sector,Final Energy|Buildings,Buildings,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,2,Final Energy by Sector,Final Energy|Industry,Industry,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,2,Final Energy by Sector,Final Energy|Transportation,Transportation,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,2,Final Energy by Sector,Final Energy,Total Energy,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,3,Energy-Related CO2 Emissions,Emissions|CO2|Energy,Energy CO2 Emissions,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,4,Fossil Emissions,Emissions|CO2|Energy|Coal,Coal,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,4,Fossil Emissions,Emissions|CO2|Energy|Gas,Gas,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,4,Fossil Emissions,Emissions|CO2|Energy|Oil,Oil,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,5,Bioenergy-related sequestration,Carbon Sequestration|CCS|Biomass|Energy,BECCS,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,5,Bioenergy-related sequestration,Carbon Sequestration|Chemical Feedstocks|Biomass,Biofeedstock,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,6,Primary Energy Fossil,Primary Energy|Coal,Coal,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,6,Primary Energy Fossil,Primary Energy|Gas,Gas,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,6,Primary Energy Fossil,Primary Energy|Oil,Oil,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,7,Primary Energy Non-Fossil,Primary Energy|Biomass,Biomass,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,7,Primary Energy Non-Fossil,Primary Energy|Nuclear,Nuclear,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,7,Primary Energy Non-Fossil,Primary Energy|Wind,Wind,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,7,Primary Energy Non-Fossil,Primary Energy|Solar,Solar,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,8,Secondary Energy,Secondary Energy|Biogas,Biogas,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,8,Secondary Energy,Secondary Energy|Biomass Liquids,Biomass Liquids,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,8,Secondary Energy,Secondary Energy|Electricity,Electricity,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,8,Secondary Energy,Secondary Energy|Hydrogen,Hydrogen,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,8,Secondary Energy,Secondary Energy|Petroleum Refining,Refining,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,8,Secondary Energy,Secondary Energy|Synthetic Gas,Synthetic Gas,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,8,Secondary Energy,Secondary Energy|Synthetic Liquids,Synthetic Liquids,,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,9,Energy CO2 Emissions Accounting,Emissions|CO2|Energy,Total Energy, ,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,9,Energy CO2 Emissions Accounting,Emissions|CO2|Energy|Supply,Supply, ,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
timeseriesplot,9,Energy CO2 Emissions Accounting,Emissions|CO2|Energy|Demand|Industry,Industry, ,0,usa,model_wm,fives_proj_40,scen_wm_sensitivities,grid,year,value,region,variable_rename,model,scenario,region,free_y
